File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
src/KOKKOS/domain_kokkos.cpp,7b98025,2.0,23.0,1.0,75.0,441.0,86.0,5.0,5.0,6.0,1.0,26.0,2.0,23.0,1.0,0.0,18.0,602.0,75.0,433.0,99.0,289.0,86.0,0.0,8.0,292.0,382.0,66.0,0.0,316.0,42.0,42.0,44.0,1.0,4.0,0.2,91.0,91.0,104.0,18.0,1.0
src/KOKKOS/domain_kokkos.cpp,1a1b81c,2.0,23.0,1.0,75.0,441.0,86.0,5.0,5.0,6.0,1.0,26.0,2.0,23.0,1.0,0.0,18.0,602.0,75.0,433.0,99.0,289.0,86.0,0.0,8.0,292.0,382.0,66.0,0.0,316.0,42.0,42.0,44.0,1.0,4.0,0.2,91.0,91.0,104.0,18.0,0.0
src/KOKKOS/neighbor_kokkos.cpp,1a1b81c,2.0,18.0,1.0,98.0,440.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,599.0,98.0,430.0,57.0,313.0,63.0,0.0,10.0,292.0,407.0,49.0,0.0,358.0,20.0,20.0,24.0,5.0,4.0,0.15,115.0,115.0,128.0,30.0,1.0
src/KOKKOS/neighbor_kokkos.cpp,2ad2326,2.0,18.0,1.0,98.0,441.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,600.0,98.0,431.0,57.0,314.0,63.0,0.0,10.0,293.0,408.0,49.0,0.0,359.0,20.0,20.0,24.0,5.0,4.0,0.15,115.0,115.0,128.0,30.0,0.0
src/USER-CUDA/verlet_cuda.cpp,dbd2599,57.0,125.0,12.0,357.0,786.0,103.0,32.0,32.0,40.0,1.0,193.0,55.0,115.0,11.0,0.0,6.0,1242.0,343.0,693.0,46.0,592.0,97.0,68.0,46.0,476.0,667.0,46.0,0.0,621.0,80.0,80.0,103.0,3.0,5.0,0.14,191.0,191.0,242.0,8.0,1.0
src/USER-CUDA/verlet_cuda.cpp,b5e95a0,57.0,123.0,12.0,356.0,771.0,103.0,32.0,32.0,40.0,1.0,190.0,54.0,113.0,11.0,0.0,6.0,1226.0,342.0,678.0,41.0,580.0,97.0,68.0,46.0,466.0,655.0,41.0,0.0,614.0,79.0,79.0,102.0,1.0,5.0,0.14,189.0,189.0,240.0,6.0,0.0
src/compute_reduce.cpp,adbca81,7.0,55.0,1.0,89.0,523.0,46.0,20.0,20.0,23.0,3.0,64.0,7.0,55.0,1.0,0.0,9.0,658.0,89.0,503.0,84.0,434.0,46.0,0.0,20.0,326.0,506.0,83.0,0.0,423.0,67.0,67.0,90.0,12.0,6.0,0.09,179.0,179.0,211.0,28.0,1.0
src/neighbor.cpp,adbca81,12.0,67.0,8.0,342.0,1574.0,311.0,26.0,26.0,31.0,3.0,87.0,12.0,66.0,8.0,0.0,23.0,2225.0,342.0,1533.0,104.0,1318.0,311.0,4.0,37.0,1060.0,1652.0,92.0,0.0,1560.0,202.0,202.0,271.0,49.0,7.0,0.2,605.0,605.0,703.0,91.0,1.0
src/neighbor.h,adbca81,0.0,3.0,0.0,82.0,262.0,245.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,13.0,464.0,82.0,254.0,233.0,22.0,245.0,0.0,8.0,228.0,251.0,229.0,0.0,22.0,11.0,11.0,11.0,11.0,4.0,0.96,23.0,23.0,23.0,23.0,1.0
src/compute_reduce_region.cpp,adbca81,7.0,57.0,2.0,33.0,194.0,28.0,22.0,22.0,25.0,3.0,66.0,7.0,57.0,2.0,0.0,3.0,255.0,33.0,175.0,46.0,147.0,28.0,0.0,19.0,116.0,182.0,46.0,0.0,136.0,55.0,55.0,63.0,9.0,6.0,0.16,65.0,65.0,75.0,11.0,1.0
src/compute_reduce.cpp,855e8ec,7.0,55.0,1.0,89.0,523.0,47.0,20.0,20.0,23.0,3.0,64.0,7.0,55.0,1.0,0.0,9.0,658.0,89.0,503.0,84.0,434.0,47.0,0.0,20.0,326.0,506.0,83.0,0.0,423.0,67.0,67.0,90.0,12.0,6.0,0.09,179.0,179.0,211.0,28.0,0.0
src/neighbor.cpp,855e8ec,12.0,66.0,8.0,342.0,1568.0,316.0,26.0,26.0,30.0,3.0,87.0,12.0,66.0,8.0,0.0,23.0,2225.0,342.0,1527.0,102.0,1314.0,316.0,4.0,37.0,1054.0,1644.0,90.0,0.0,1554.0,202.0,202.0,271.0,49.0,7.0,0.21,603.0,603.0,699.0,91.0,0.0
src/neighbor.h,855e8ec,0.0,3.0,0.0,82.0,262.0,245.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,13.0,464.0,82.0,254.0,233.0,22.0,245.0,0.0,8.0,228.0,251.0,229.0,0.0,22.0,11.0,11.0,11.0,11.0,4.0,0.96,23.0,23.0,23.0,23.0,0.0
src/compute_reduce_region.cpp,855e8ec,7.0,57.0,2.0,33.0,194.0,29.0,22.0,22.0,25.0,3.0,66.0,7.0,57.0,2.0,0.0,3.0,255.0,33.0,175.0,46.0,147.0,29.0,0.0,19.0,116.0,182.0,46.0,0.0,136.0,55.0,55.0,63.0,9.0,6.0,0.17,65.0,65.0,75.0,11.0,0.0
src/MC/fix_gcmc.cpp,855e8ec,9.0,57.0,2.0,353.0,1818.0,145.0,14.0,14.0,16.0,2.0,69.0,9.0,57.0,2.0,0.0,31.0,2316.0,353.0,1786.0,322.0,1465.0,145.0,0.0,32.0,1262.0,1692.0,315.0,1.0,1376.0,39.0,39.0,53.0,9.0,5.0,0.08,428.0,428.0,494.0,67.0,1.0
src/MC/fix_gcmc.cpp,b2e792d,9.0,58.0,2.0,356.0,1822.0,147.0,14.0,14.0,16.0,2.0,69.0,9.0,58.0,2.0,0.0,31.0,2325.0,356.0,1790.0,323.0,1468.0,147.0,0.0,32.0,1264.0,1695.0,316.0,1.0,1378.0,39.0,39.0,54.0,9.0,5.0,0.08,429.0,429.0,496.0,67.0,0.0
src/KOKKOS/comm_kokkos.cpp,9b33b04,3.0,22.0,2.0,151.0,722.0,124.0,5.0,5.0,5.0,1.0,28.0,3.0,22.0,2.0,0.0,30.0,996.0,151.0,702.0,139.0,482.0,124.0,0.0,20.0,404.0,552.0,104.0,0.0,448.0,41.0,41.0,47.0,1.0,8.0,0.18,150.0,150.0,163.0,30.0,1.0
src/KOKKOS/comm_kokkos.cpp,d6a67c2,3.0,23.0,2.0,150.0,724.0,124.0,5.0,5.0,5.0,1.0,28.0,3.0,23.0,2.0,0.0,30.0,997.0,150.0,704.0,139.0,484.0,124.0,0.0,20.0,406.0,554.0,104.0,0.0,450.0,41.0,41.0,47.0,1.0,8.0,0.18,150.0,150.0,163.0,30.0,0.0
src/VORONOI/compute_voronoi_atom.cpp,aaa32cf,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,300.0,421.0,60.0,0.0,361.0,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,1.0
src/VORONOI/compute_voronoi_atom.cpp,25992ae,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,300.0,421.0,60.0,0.0,361.0,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,0.0
src/VORONOI/compute_voronoi_atom.cpp,25992ae,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,300.0,421.0,60.0,0.0,361.0,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,1.0
src/VORONOI/compute_voronoi_atom.cpp,5ebf01e,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,300.0,421.0,60.0,0.0,361.0,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,0.0
src/KOKKOS/kokkos.cpp,cf26690,5.0,39.0,1.0,39.0,208.0,30.0,12.0,12.0,14.0,1.0,46.0,5.0,34.0,1.0,0.0,5.0,277.0,38.0,173.0,24.0,145.0,30.0,14.0,24.0,120.0,178.0,23.0,0.0,155.0,32.0,32.0,34.0,3.0,4.0,0.17,59.0,59.0,68.0,7.0,1.0
src/KOKKOS/kokkos.cpp,e564fc4,5.0,39.0,1.0,39.0,208.0,30.0,12.0,12.0,14.0,1.0,46.0,5.0,34.0,1.0,0.0,5.0,277.0,38.0,173.0,24.0,145.0,30.0,14.0,24.0,120.0,178.0,23.0,0.0,155.0,32.0,32.0,34.0,3.0,4.0,0.17,59.0,59.0,68.0,7.0,0.0
src/KOKKOS/pair_tersoff_zbl_kokkos.cpp,656f8ed,6.0,31.0,1.0,243.0,985.0,73.0,5.0,5.0,6.0,2.0,38.0,6.0,31.0,1.0,0.0,30.0,1301.0,243.0,961.0,291.0,702.0,73.0,1.0,23.0,701.0,860.0,188.0,0.0,672.0,28.0,28.0,33.0,19.0,4.0,0.08,156.0,156.0,169.0,79.0,1.0
