File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
libmesh/src/reduced_basis/rb_scm_evaluation.C,42c7883,0.0,0.0,0.0,88.0,424.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,6.0,0.0,0.0,0.0,18.0,570.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
libmesh/src/reduced_basis/rb_scm_evaluation.C,5ac7ee7,0.0,0.0,0.0,88.0,424.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,6.0,0.0,0.0,0.0,18.0,570.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
libmesh/examples/miscellaneous/miscellaneous_ex1/miscellaneous_ex1.C,5ac7ee7,35.0,72.0,112.0,90.0,167.0,267.0,1.0,1.0,1.0,1.0,205.0,3.0,6.0,4.0,0.0,2.0,496.0,27.0,15.0,6.0,4.0,51.0,380.0,26.0,7.0,8.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,3.4,2.0,2.0,2.0,2.0,1.0
libmesh/examples/adaptivity/adaptivity_ex5/adaptivity_ex5.C,5ac7ee7,30.0,74.0,60.0,145.0,328.0,299.0,1.0,1.0,1.0,1.0,163.0,1.0,7.0,2.0,0.0,4.0,770.0,30.0,34.0,17.0,8.0,66.0,612.0,33.0,12.0,17.0,9.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.94,4.0,4.0,4.0,4.0,1.0
libmesh/examples/miscellaneous/miscellaneous_ex2/miscellaneous_ex2.C,5ac7ee7,31.0,68.0,60.0,128.0,228.0,289.0,1.0,1.0,1.0,1.0,159.0,1.0,5.0,2.0,0.0,1.0,643.0,23.0,6.0,2.0,1.0,62.0,528.0,26.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,10.33,1.0,1.0,1.0,1.0,1.0
libmesh/examples/reduced_basis/reduced_basis_ex1/reduced_basis_ex1.C,5ac7ee7,30.0,80.0,42.0,42.0,96.0,78.0,6.0,6.0,6.0,1.0,147.0,30.0,76.0,41.0,0.0,1.0,211.0,42.0,77.0,17.0,56.0,77.0,3.0,18.0,47.0,54.0,17.0,0.0,37.0,6.0,6.0,6.0,1.0,2.0,1.0,6.0,6.0,6.0,1.0,1.0
libmesh/examples/reduced_basis/reduced_basis_ex2/reduced_basis_ex2.C,5ac7ee7,37.0,103.0,52.0,48.0,119.0,90.0,1.0,1.0,1.0,1.0,186.0,1.0,5.0,3.0,0.0,1.0,251.0,12.0,6.0,2.0,1.0,41.0,176.0,21.0,3.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,6.83,1.0,1.0,1.0,1.0,1.0
libmesh/examples/miscellaneous/miscellaneous_ex5/miscellaneous_ex5.C,5ac7ee7,19.0,74.0,41.0,93.0,323.0,195.0,7.0,7.0,8.0,1.0,130.0,14.0,55.0,35.0,0.0,4.0,595.0,71.0,222.0,84.0,149.0,169.0,113.0,37.0,165.0,194.0,82.0,1.0,111.0,21.0,21.0,24.0,1.0,7.0,0.76,28.0,28.0,31.0,4.0,1.0
libmesh/examples/reduced_basis/reduced_basis_ex3/reduced_basis_ex3.C,5ac7ee7,32.0,77.0,43.0,41.0,89.0,66.0,1.0,1.0,1.0,1.0,146.0,1.0,5.0,3.0,0.0,1.0,190.0,10.0,6.0,2.0,1.0,26.0,136.0,17.0,3.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.33,1.0,1.0,1.0,1.0,1.0
libmesh/examples/miscellaneous/miscellaneous_ex1/miscellaneous_ex1.C,8a557e2,35.0,74.0,112.0,90.0,171.0,267.0,1.0,1.0,1.0,1.0,207.0,3.0,6.0,4.0,0.0,2.0,500.0,27.0,15.0,6.0,4.0,51.0,384.0,30.0,7.0,8.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,3.4,2.0,2.0,2.0,2.0,0.0
libmesh/examples/adaptivity/adaptivity_ex5/adaptivity_ex5.C,8a557e2,30.0,78.0,60.0,145.0,344.0,299.0,1.0,1.0,1.0,1.0,167.0,1.0,7.0,2.0,0.0,4.0,786.0,30.0,34.0,17.0,8.0,66.0,628.0,49.0,12.0,17.0,9.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.94,4.0,4.0,4.0,4.0,0.0
libmesh/examples/miscellaneous/miscellaneous_ex2/miscellaneous_ex2.C,8a557e2,31.0,70.0,60.0,128.0,230.0,289.0,1.0,1.0,1.0,1.0,161.0,1.0,5.0,2.0,0.0,1.0,645.0,23.0,6.0,2.0,1.0,62.0,530.0,28.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,10.33,1.0,1.0,1.0,1.0,0.0
libmesh/examples/reduced_basis/reduced_basis_ex1/reduced_basis_ex1.C,8a557e2,30.0,84.0,42.0,42.0,100.0,78.0,6.0,6.0,6.0,1.0,151.0,30.0,74.0,41.0,0.0,1.0,215.0,42.0,75.0,17.0,54.0,77.0,5.0,22.0,45.0,52.0,17.0,0.0,35.0,6.0,6.0,6.0,1.0,2.0,1.03,6.0,6.0,6.0,1.0,0.0
libmesh/examples/reduced_basis/reduced_basis_ex2/reduced_basis_ex2.C,8a557e2,37.0,107.0,52.0,48.0,123.0,90.0,1.0,1.0,1.0,1.0,190.0,1.0,5.0,3.0,0.0,1.0,255.0,12.0,6.0,2.0,1.0,41.0,180.0,25.0,3.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,6.83,1.0,1.0,1.0,1.0,0.0
libmesh/examples/miscellaneous/miscellaneous_ex5/miscellaneous_ex5.C,8a557e2,19.0,74.0,41.0,93.0,325.0,195.0,7.0,7.0,8.0,1.0,130.0,14.0,55.0,35.0,0.0,4.0,597.0,71.0,222.0,84.0,149.0,169.0,115.0,39.0,165.0,194.0,82.0,1.0,111.0,21.0,21.0,24.0,1.0,7.0,0.76,28.0,28.0,31.0,4.0,0.0
libmesh/examples/reduced_basis/reduced_basis_ex3/reduced_basis_ex3.C,8a557e2,32.0,81.0,43.0,41.0,93.0,66.0,1.0,1.0,1.0,1.0,150.0,1.0,5.0,3.0,0.0,1.0,194.0,10.0,6.0,2.0,1.0,26.0,140.0,21.0,3.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.33,1.0,1.0,1.0,1.0,0.0
libmesh/src/reduced_basis/rb_eim_evaluation.C,14dc4a3,5.0,38.0,3.0,59.0,351.0,43.0,5.0,5.0,5.0,1.0,46.0,5.0,38.0,3.0,0.0,9.0,452.0,59.0,347.0,58.0,202.0,43.0,0.0,4.0,204.0,250.0,53.0,0.0,197.0,14.0,14.0,14.0,1.0,3.0,0.12,45.0,45.0,45.0,9.0,1.0
libmesh/src/reduced_basis/rb_eim_evaluation.C,5382f55,6.0,40.0,3.0,70.0,365.0,43.0,6.0,6.0,6.0,1.0,49.0,6.0,40.0,3.0,0.0,9.0,477.0,70.0,361.0,58.0,216.0,43.0,0.0,4.0,208.0,262.0,53.0,0.0,209.0,18.0,18.0,18.0,1.0,3.0,0.12,53.0,53.0,53.0,9.0,0.0
libmesh/src/quadrature/quadrature_gauss_2D.C,ba4442a,170.0,730.0,502.0,181.0,735.0,518.0,1.0,1.0,1.0,1.0,1275.0,0.0,4.0,0.0,0.0,1.0,1306.0,11.0,7.0,5.0,0.0,16.0,1269.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.29,1.0,1.0,1.0,1.0,1.0
libmesh/src/quadrature/quadrature_monomial_2D.C,ba4442a,91.0,276.0,238.0,102.0,281.0,254.0,19.0,3.0,19.0,13.0,500.0,91.0,276.0,238.0,0.0,1.0,531.0,102.0,279.0,174.0,237.0,254.0,0.0,2.0,70.0,92.0,23.0,0.0,69.0,19.0,3.0,19.0,13.0,2.0,0.91,19.0,3.0,19.0,13.0,1.0
libmesh/src/quadrature/quadrature_gauss_2D.C,30a8a13,170.0,730.0,502.0,181.0,735.0,518.0,1.0,1.0,1.0,1.0,1275.0,0.0,4.0,0.0,0.0,1.0,1306.0,11.0,7.0,5.0,0.0,16.0,1269.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.29,1.0,1.0,1.0,1.0,0.0
libmesh/src/quadrature/quadrature_monomial_2D.C,30a8a13,91.0,276.0,238.0,102.0,281.0,254.0,19.0,3.0,19.0,13.0,500.0,91.0,276.0,238.0,0.0,1.0,531.0,102.0,279.0,174.0,237.0,254.0,0.0,2.0,70.0,92.0,23.0,0.0,69.0,19.0,3.0,19.0,13.0,2.0,0.91,19.0,3.0,19.0,13.0,0.0
libmesh/contrib/fparser/fparser.cc,8befce2,2.0,23.0,3.0,387.0,3095.0,465.0,8.0,5.0,9.0,4.0,28.0,2.0,21.0,3.0,0.0,88.0,3854.0,339.0,1991.0,499.0,1220.0,372.0,1066.0,224.0,979.0,1577.0,249.0,10.0,1318.0,124.0,86.0,147.0,124.0,6.0,0.19,709.0,458.0,789.0,439.0,1.0
